App name,App status,Graph API access,Permission type,Consent type,Publisher,Last modified,Added on,Permission usage,Data usage,Privilege level
Sonarcloud,Enabled,Yes,Delegated,User (5),N/A,2023-03-08T14:16:09.000Z,2020-11-25T13:46:00.000Z,N/A,0,Low
mcs-tst-blueprint,Enabled,Yes,Delegated,Admin,N/A,2023-03-08T19:20:47.000Z,2023-03-08T19:07:16.000Z,N/A,0,Low
Neptune.ai,Enabled,Yes,Delegated,User (1),N/A,2023-03-12T08:27:48.000Z,2023-03-12T08:27:48.000Z,N/A,0,Low
Haiti,Enabled,Yes,Delegated,Admin,N/A,2023-03-14T09:39:13.000Z,2020-03-26T19:13:45.000Z,N/A,0,Low
Route,Enabled,Yes,Delegated,User (6),"Route App, Inc.",2023-03-15T20:13:12.000Z,2022-01-14T21:25:36.000Z,Some unused,0,Low
SpawnEnv-DEV-Registration,Enabled,Yes,Delegated,User (1),N/A,2023-03-19T12:34:01.000Z,2022-02-27T09:46:17.000Z,N/A,0,Low
amitwebtest,Enabled,Yes,Delegated,Admin,N/A,2023-03-20T09:20:01.000Z,2023-03-20T08:26:37.000Z,N/A,0,Low
prod-usa-2-gcp-common-taskmgmt,Enabled,Yes,Delegated,User (1),N/A,2023-03-20T12:32:18.000Z,2023-03-20T12:32:18.000Z,N/A,0,Low
Tutorial Sample App,Enabled,Yes,Delegated,User (10),N/A,2023-03-21T07:17:08.000Z,2020-02-18T09:14:00.000Z,Some unused,0,Low
Idfitness,Enabled,Yes,Delegated,User (195),N/A,2023-03-21T08:51:32.000Z,2021-01-12T13:20:39.000Z,N/A,0,Low
DigitalIDF - Grafana - Prod,Enabled,Yes,Delegated,Admin,N/A,2023-03-21T20:01:33.000Z,2021-01-18T12:55:37.000Z,N/A,0,Low
Zoom,Enabled,Yes,Delegated,User (33),N/A,2023-03-25T11:50:52.000Z,2020-03-15T12:53:31.000Z,Some unused,0,Low
DigitalIDF - Drishop - Test,Enabled,Yes,Delegated,User (2),N/A,2023-03-27T10:44:28.000Z,2023-03-21T10:14:32.000Z,N/A,0,Low
DigitalIDF - APIM-Gateway - Prod,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:42:16.000Z,2020-06-10T14:00:44.000Z,N/A,0,Low
DigitalIDF - APIM Tester - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:42:32.000Z,2022-01-12T10:01:08.000Z,N/A,0,Low
DigitalIDF - Balev - Prod,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:43:11.000Z,2022-04-13T08:22:21.000Z,N/A,0,Low
